fname,category,description of field,needs history,frequencyupdate,
name,sugar,,,never,
date_entered,sugar,,,never,
date_modified,sugar,,,never,
modified_user_id,sugar,,,never,
created_by,sugar,,,never,
description,sugar,,,never,
deleted,sugar,,,never,
assigned_user_id,sugar,,,never,
full_name,addfin,,no,never,
short_name,addfin,,no,never,
symbol,addfin,,no,never,
traded_currency,addfin,,no,never,
type,addfin,,no,never,need a mapper from rolotec codes like 'BON' to addfin BONDS 
asset_class,addfin,,no,never,
geography,addfin,,no,never,what should these be for funds and svps?
volume_average,price,,,daily,
volume_average_last_month,price,,,daily,
price_52w_low,price,,,daily,
price_52w_low_date,price,,,daily,
price_52w_high,price,,,daily,
price_52w_high_date,price,,,daily,
sector,addfin,,no,,
most_liquid_market,price,,,,
open,price,,,,
open_date,price,,,,
performance_1w,price,,,,
performance_1w_percent,price,,,,
style,addfin,,no,,
closing_price,price,,,,
closing_price_date,price,,,,
mostliquid_market,mktdesc,,,,
bid_price,price,,,,
bid_price_date,price,,,,
ask_price,price,,,,
ask_price_date,price,,,,
opening_price,price,,,,
opening_price_date,price,,,,
instrument_type,addfin,,no,,
domicile,addfin,,no,,
addfin_name,delete,,,,
addfin_id,delete,,,,
instrument_type_group,addfin,,no,,
given_reference_index,addfin,,no,,these are the history ones
distribution_country_1,addfin,,no,,
tax_registration,addfin,,no,,
category,addfin,,no,,
instrument_classification,addfin2,,no,,
exchange_id,mktdesc,,,,
exchange_domicile,mktdesc,,,,
exchange_shortcut,mktdesc,,,,
exchange_url,mktdesc,,,,
exchange_code,mktdesc,,,,
issuer_name,svp,,,,
market,desc,,no,,
alternative,desc,,no,,
duration,desc,,no,,
exchange_logo,desc,,no,,
is_custom_index,desc,,no,,
datasource,desc,,no,,
rolotec_id,id,,no,,
investment_style,fund,,,,
isin,id,,no,,
distribution_method,fund,,,,
currency,id,,no,,
fund_assets,fund,,,,
inception_date,fund,,,,
maturity_date,fund,,,,
launch_date,fund,,,,
nav_calculation_frequency,fund,,,,
dividends,info,,,,
ter,fund,,,,
ter_date,fund,,,,
bid_ask_spread,price,,,,
valor,id,,no,,
minimum_subscription_amount,fund,,,,
minimum_subsequent_subscription,fund,,,,
subscription_notice,fund,,,,
redemption_amount,fund,,,,
market_capitalization,price,,,,
coupon,info,,,,
liquidity,info,,,,
average_daily_volume_current_month,price,,,,
average_daily_volume_last_month,price,,,,
date_price,price,,,,
price_high_current_year,price,,,,
price_low_current_year,price,,,,
nav_current,fund,,,,
nav_previous_day,fund,,,,
performance_1day,price,,,,
performance_last_month,price,,,,
performance_ytd,price,,,,
yield_to_maturity,price,,,,
accrued_interest,price,,,,
dividend_yield,price,,,,
zero_coupon_yield,price,,,,
volatility_30_days,risk,,,,
volatility_90_days,risk,,,,
volatility_180_days,risk,,,,
volatility_250_days,risk,,,,
tracking_error,risk,,,,
var,risk,,,,
cvar,risk,,,,
beta_factor_1year,risk,,,,
jensen_alpha_1_year,risk,,,,
sharpe_ratio_1_year,risk,,,,
sortino_ratio,risk,,,,
prospect,info,,,,
kiid,rating,,,,
factsheet,info,,,,
reports,info,,,,
research,info,,,,
prip,info,,,,
sales_prospectus,fund,,,,
seminanual_report,fund,,,,
fund_portrait,fund,,,,
instrument_rating,rating,,,,
restriction,rating,,,,
asset_allocation_by_holding,fund,,,,
asset_allocation_by_region,fund,,,,
asset_allocation_by_types,fund,,,,
nav_prev_day,fund,,,,
bid_ask_spread_current,price,,,,
exchange_name,id,,no,,
average_daily_volume_month_to_date,price,,,,
morningstar_3y,rating,,,,
morningstar,rating,,,,
sp_rating,rating,,,,
moody_rating,rating,,,,
fitch_rating,rating,,,,
management_fee,fund,,,,
performance_fee,fund,,,,
high_watermark,fund,,,,
beta_factor_1_year,risk,,,,
cusip,id,,no,,
fee_level,fund,,,,
min_fee,fund,,,,
max_fee,fund,,,,
frequency,info,,,,
free_of_charge,fund,,,,
chart,chart,,,,
sedol,id,,no,,
wkn,id,,no,,
impaqt_categ,rating,,,,
aum,fund,,,,
ticker,id,,no,,
issuer_logo,svp,,,,
issuer_url,svp,,,,
issuer_contact_mail,svp,,,,
highest_number_of_ticks_name_exchange,price,,,,
issuer_contact_address,svp,,,,
issuer_contact_phone,svp,,,,
issuer_description,svp,,,,
vehicle,svp,,,,
legal_structure,svp,,,,
replication_style,svp,,,,
original_currency,svp,,,,
currency_hedging,svp,,,,
subscription_type,fund,,,,
market_capitalization_updated,price,,,,
date_of_market_capitalization,price,,,,
replication_method,fund,,,,
trader_symbol,id,,no,,
yahoo_symbol,id,,no,,
telekurs_id,id,,no,,
investment_policy,fund,,,,
bloomberg,id,,no,,
special_funds_classification,fund,,,,
asset_allocation_by_sector,fund,,,,
asset_allocation_by_style,fund,,,,
asset_allocation_by_asset_class,fund,,,,
asset_allocation_by_maturities,fund,,,,
asset_allocation_by_rating,fund,,,,
number_of_holdings,fund,,,,
mifid,id,,no,,
svsp_risk_rating,rating,,,,
svsp_var,rating,,,,
kiid_risk_rating,rating,,,,
kiid_date,rating,,,,
pib_rating,rating,,,,
latest_market_data_id,id,,no,,
reuters,id,,no,,
monthly_average_price,price,,,,
bid_ask_spread_this_month,price,,,,
bid_ask_spread_last_month,price,,,,
nav_max,fund,,,,
nav_ytd,fund,,,,
other_charts,chart,,,,
telekurs_kname,id,,no,,
product_related_headlines,news,,no,,
rating_company,rating,,,,
rating_level,rating,,,,
kiid_ongoing_charges_figures,rating,,,,
subscription_fee,fund,,,,
redemption_fee,fund,,,,
best_volume_per_currency_name_exchange,mktdesc,,,,
