'db_last_name','db_last_name',"'LBL_LIST_LAST_NAME',","'LBL_LIST_LAST_NAME',",Leads
'db_first_name','db_first_name',"'LBL_LIST_FIRST_NAME',","'LBL_LIST_FIRST_NAME',",Leads
'db_title','db_title',"'LBL_LIST_TITLE',","'LBL_LIST_TITLE',",Leads
'db_email1','db_email1',"'LBL_LIST_EMAIL_ADDRESS',","'LBL_LIST_EMAIL_ADDRESS',",Leads
'db_account_name','db_account_name',"'LBL_LIST_ACCOUNT_NAME',","'LBL_LIST_ACCOUNT_NAME',",Leads
'db_email2','db_email2',"'LBL_LIST_EMAIL_ADDRESS',","'LBL_LIST_EMAIL_ADDRESS',",Leads
'ERR_DELETE_RECORD','ERR_DELETE_RECORD',"'Die Datensatznummer muss angegeben werden, um diesen Datensatz löschen zu können.',","'en_us A record number must be specified to delete the lead.',",Leads
'LBL_ACCOUNT_DESCRIPTION','LBL_ACCOUNT_DESCRIPTION',"'Firma Beschreibung',","'Account Description',",Leads
'LBL_ACCOUNT_ID','LBL_ACCOUNT_ID',"'Firma ID',","'Organisation ID',",Leads
'LBL_ACCOUNT_NAME','LBL_ACCOUNT_NAME',"'Firmenname:',","'Organisation Name:',",Leads
'LBL_ACTIVITIES_SUBPANEL_TITLE','LBL_ACTIVITIES_SUBPANEL_TITLE',"'Aktivitäten',","'Activities',",Leads
'LBL_ADD_BUSINESSCARD','LBL_ADD_BUSINESSCARD',"'vCard hinzufügen',","'Add Business Card',",Leads
'LBL_ADDRESS_INFORMATION','LBL_ADDRESS_INFORMATION',"'Adressinformation',","'Address Information',",Leads
'LBL_ALT_ADDRESS_CITY','LBL_ALT_ADDRESS_CITY',"'2. Adresse Ort',","'Alt Address City',",Leads
'LBL_ALT_ADDRESS_COUNTRY','LBL_ALT_ADDRESS_COUNTRY',"'2. Adresse Land',","'Alt Address Country',",Leads
'LBL_ALT_ADDRESS_POSTALCODE','LBL_ALT_ADDRESS_POSTALCODE',"'2. Adresse Postleitzahl',","'Alt Address Postalcode',",Leads
'LBL_ALT_ADDRESS_STATE','LBL_ALT_ADDRESS_STATE',"'2. Adresse Bundesland',","'Alt Address State',",Leads
'LBL_ALT_ADDRESS_STREET_2','LBL_ALT_ADDRESS_STREET_2',"'2. Adresse Straße 2',","'Alt Address Street 2',",Leads
'LBL_ALT_ADDRESS_STREET_3','LBL_ALT_ADDRESS_STREET_3',"'2. Adresse Straße 3',","'Alt Address Street 3',",Leads
'LBL_ALT_ADDRESS_STREET','LBL_ALT_ADDRESS_STREET',"'2. Adresse Straße',","'Alt Address Street',",Leads
'LBL_ALTERNATE_ADDRESS','LBL_ALTERNATE_ADDRESS',"'Weitere Adresse:',","'Other Address:',",Leads
'LBL_ALT_ADDRESS','LBL_ALT_ADDRESS',"'Weitere Adresse:',","'Other Address:',",Leads
'LBL_ANY_ADDRESS','LBL_ANY_ADDRESS',"'Irgendeine Adresse:',","'Any Address:',",Leads
'LBL_ANY_EMAIL','LBL_ANY_EMAIL',"'Irgendeine E-Mail:',","'Any Email:',",Leads
'LBL_ANY_PHONE','LBL_ANY_PHONE',"'Irgendeine Telefonnummer:',","'Any Phone:',",Leads
'LBL_ASSIGNED_TO_NAME','LBL_ASSIGNED_TO_NAME',"'Zugewiesen an',","'Assigned to',",Leads
'LBL_ASSIGNED_TO_ID','LBL_ASSIGNED_TO_ID',"'Zugew. Benutzer:',","'Assigned User:',",Leads
'LBL_BACKTOLEADS','LBL_BACKTOLEADS',"'Zurück zu den Interessenten',","'Back To Leads',",Leads
'LBL_BUSINESSCARD','LBL_BUSINESSCARD',"'Interessent umwandeln',","'Convert Lead',",Leads
'LBL_CITY','LBL_CITY',"'Stadt:',","'City:',",Leads
'LBL_CONTACT_ID','LBL_CONTACT_ID',"'Kontakt ID',","'Contact ID',",Leads
'LBL_CONTACT_INFORMATION','LBL_CONTACT_INFORMATION',"'Überblick',","'Overview',",Leads
'LBL_CONTACT_NAME','LBL_CONTACT_NAME',"'Name:',","'Lead Name:',",Leads
'LBL_CONTACT_OPP_FORM_TITLE','LBL_CONTACT_OPP_FORM_TITLE',"'Interessent:',","'Lead-Opportunity:',",Leads
'LBL_CONTACT_ROLE','LBL_CONTACT_ROLE',"'Rolle:',","'Role:',",Leads
'LBL_CONTACT','LBL_CONTACT',"'Interessent:',","'Lead:',",Leads
'LBL_CONVERTED_ACCOUNT','LBL_CONVERTED_ACCOUNT',"'Umgewandelt in Firma:',","'Converted Organisation:',",Leads
'LBL_CONVERTED_CONTACT','LBL_CONVERTED_CONTACT',"'Umgewandelt in Kontakt:',","'Converted Contact:',",Leads
'LBL_CONVERTED_OPP','LBL_CONVERTED_OPP',"'Umgewandelt in Verkaufschance:',","'Converted Opportunity:',",Leads
'LBL_CONVERTED','LBL_CONVERTED',"'Umgewandelt',","'Converted',",Leads
'LBL_CONVERTLEAD_BUTTON_KEY','LBL_CONVERTLEAD_BUTTON_KEY',"'V',","'V',",Leads
'LBL_CONVERTLEAD_TITLE','LBL_CONVERTLEAD_TITLE',"'Interessent umwandeln',","'Convert Lead',",Leads
'LBL_CONVERTLEAD','LBL_CONVERTLEAD',"'Interessent umwandeln',","'Convert Lead',",Leads
'LBL_CONVERTLEAD_WARNING','LBL_CONVERTLEAD_WARNING',"'Achtung: Der Status des Interessenten den Sie versuchen umzuwandeln ist bereits ""umgewandelt"". Es könnte also bereits ein Kontakt und/oder Firma aus diesem Interessent erstellt worden sein. Um den Interessent dennoch umzuwandeln klicken Sie bitte auf Speichern. Wenn Sie nicht umwandeln möchten, klicken Sie auf Abbrechen.',","'Warning: The status of the Lead you are about to convert is ""Converted"". Contact and/or Account records may already have been created from the Lead. If you wish to continue with converting the Lead, click Save. To go back to the Lead without converting it, click Cancel.',",Leads
'LBL_CONVERTLEAD_WARNING_INTO_RECORD','LBL_CONVERTLEAD_WARNING_INTO_RECORD',"' Mögliche Kontaktperson: ',","' Possible Contact: ',",Leads
'LBL_COUNTRY','LBL_COUNTRY',"'Land:',","'Country:',",Leads
'LBL_CREATED_NEW','LBL_CREATED_NEW',"'Neu erstellt(e)',","'Created a new',",Leads
'LBL_CREATED_ACCOUNT','LBL_CREATED_ACCOUNT',"'Neue Firma angelegt',","'Created a new Organisation',",Leads
'LBL_CREATED_CALL','LBL_CREATED_CALL',"'Neuer Anruf angelegt',","'Created a new call',",Leads
'LBL_CREATED_CONTACT','LBL_CREATED_CONTACT',"'Neuer Kontakt angelegt',","'Created a new contact',",Leads
'LBL_CREATED_MEETING','LBL_CREATED_MEETING',"'Neues Meeting angelegt',","'Created a new meeting',",Leads
'LBL_CREATED_OPPORTUNITY','LBL_CREATED_OPPORTUNITY',"'Neue Verkaufschance erstellt',","'Created a new opportunity',",Leads
'LBL_DEFAULT_SUBPANEL_TITLE','LBL_DEFAULT_SUBPANEL_TITLE',"'Interessenten',","'Leads',",Leads
'LBL_DEPARTMENT','LBL_DEPARTMENT',"'Abteilung:',","'Department:',",Leads
'LBL_DESCRIPTION_INFORMATION','LBL_DESCRIPTION_INFORMATION',"'Beschreibungsinformation',","'Description Information',",Leads
'LBL_DESCRIPTION','LBL_DESCRIPTION',"'Beschreibung:',","'Description:',",Leads
'LBL_DO_NOT_CALL','LBL_DO_NOT_CALL',"'Nicht anrufen:',","'Do Not Call:',",Leads
'LBL_DUPLICATE','LBL_DUPLICATE',"'Ähnlicher Interessenten',","'Similar Leads',",Leads
'LBL_EMAIL_ADDRESS','LBL_EMAIL_ADDRESS',"'E-Mail Adresse:',","'Email Address:',",Leads
